date,cam,count
2017-06-27,163,203
2017-06-27,165,144
2017-06-27,166,53
2017-06-27,168,613
2017-06-27,169,621
2017-06-27,170,1038
2017-06-27,171,424
2017-06-27,172,596
2017-06-27,173,392
2017-06-27,175,177
2017-06-27,176,55
2017-06-27,179,676
2017-06-27,180,525
2017-06-27,181,1710
2017-06-27,182,45
2017-06-27,187,306
2017-06-27,192,27
2017-06-27,211,26
2017-06-27,253,46
2017-06-27,287,54
2017-06-27,292,115
2017-06-27,326,116
2017-06-27,330,110
2017-06-27,338,253
2017-06-27,339,164
2017-06-27,347,399
2017-06-27,351,272
2017-06-27,361,209
2017-06-27,398,403
2017-06-27,399,119
2017-06-27,400,151
2017-06-27,403,248
2017-06-27,404,158
2017-06-27,406,259
2017-06-27,407,169
2017-06-27,409,272
2017-06-27,410,93
2017-06-27,412,179
2017-06-27,413,363
2017-06-27,414,374
2017-06-27,415,387
2017-06-27,416,251
2017-06-27,419,107
2017-06-27,420,151
2017-06-27,421,447
2017-06-27,426,58
2017-06-27,427,57
2017-06-27,430,184
2017-06-27,432,108
2017-06-27,433,152
2017-06-27,445,299
2017-06-27,446,85
2017-06-27,452,182
2017-06-27,459,126
2017-06-27,472,221
2017-06-27,473,146
2017-06-27,474,45
2017-06-27,475,1059
2017-06-27,489,468
2017-06-27,495,447
2017-06-27,500,558
2017-06-27,501,830
2017-06-27,502,268
2017-06-27,503,385
2017-06-27,504,478
2017-06-27,506,334
2017-06-27,507,116
2017-06-27,508,307
2017-06-27,509,578
2017-06-27,510,208
2017-06-27,511,426
2017-06-27,517,172
2017-06-27,519,173
2017-06-27,523,412
2017-06-27,528,289
2017-06-27,531,300
2017-06-27,535,499
2017-06-27,542,501
2017-06-27,544,119
2017-06-27,545,208
2017-06-27,547,132
2017-06-27,548,187
2017-06-27,550,89
2017-06-27,551,163
2017-06-27,552,146
2017-06-27,715,123
2017-06-27,716,211
2017-06-27,717,600
2017-06-27,722,589
2017-06-27,725,351
2017-06-27,789,443
2017-06-27,790,123
2017-06-27,791,67
2017-06-27,794,145
2017-06-27,827,268
2017-06-27,828,141
2017-06-27,838,352
2017-06-27,845,275
2017-06-27,846,438
2017-06-27,869,136
2017-06-27,891,655
2017-06-27,893,15
2017-06-27,899,2528
2017-06-27,928,116
2017-06-27,985,210
2017-06-27,988,111
2017-06-27,1028,291
2017-06-28,163,4996
2017-06-28,165,1441
2017-06-28,166,324
2017-06-28,168,4871
2017-06-28,169,5466
2017-06-28,170,8216
2017-06-28,171,6325
2017-06-28,172,3364
2017-06-28,173,3486
2017-06-28,175,3385
2017-06-28,176,1282
2017-06-28,179,4623
2017-06-28,180,6227
2017-06-28,181,7788
2017-06-28,182,406
2017-06-28,187,4589
2017-06-28,192,391
2017-06-28,211,201
2017-06-28,253,467
2017-06-28,287,1215
2017-06-28,292,407
2017-06-28,326,1306
2017-06-28,330,2213
2017-06-28,338,2375
2017-06-28,339,2135
2017-06-28,347,6177
2017-06-28,351,3868
2017-06-28,361,2958
2017-06-28,398,4926
2017-06-28,399,1136
2017-06-28,400,1961
2017-06-28,403,2325
2017-06-28,404,2197
2017-06-28,406,3415
2017-06-28,407,1716
2017-06-28,409,4141
2017-06-28,410,1215
2017-06-28,412,1967
2017-06-28,413,3217
2017-06-28,414,2806
2017-06-28,415,4193
2017-06-28,416,1359
2017-06-28,419,1671
2017-06-28,420,2581
2017-06-28,421,3378
2017-06-28,426,790
2017-06-28,427,1090
2017-06-28,430,1194
2017-06-28,432,2578
2017-06-28,433,2456
2017-06-28,445,4648
2017-06-28,446,654
2017-06-28,452,2522
2017-06-28,459,1930
2017-06-28,472,1098
2017-06-28,473,1500
2017-06-28,474,433
2017-06-28,475,6223
2017-06-28,489,6343
2017-06-28,495,3101
2017-06-28,500,5018
2017-06-28,501,6853
2017-06-28,502,1689
2017-06-28,503,3118
2017-06-28,504,4666
2017-06-28,506,3933
2017-06-28,507,1281
2017-06-28,508,2454
2017-06-28,509,4710
2017-06-28,510,2635
2017-06-28,511,4166
2017-06-28,517,1553
2017-06-28,519,1852
2017-06-28,523,3578
2017-06-28,528,4485
2017-06-28,531,3171
2017-06-28,535,4042
2017-06-28,542,4224
2017-06-28,544,795
2017-06-28,545,1423
2017-06-28,547,596
2017-06-28,548,1024
2017-06-28,550,2033
2017-06-28,551,1908
2017-06-28,552,1708
2017-06-28,715,320
2017-06-28,716,2363
2017-06-28,717,3133
2017-06-28,722,4776
2017-06-28,725,2376
2017-06-28,789,3514
2017-06-28,790,1200
2017-06-28,791,1081
2017-06-28,794,1001
2017-06-28,827,1640
2017-06-28,828,1388
2017-06-28,838,3712
2017-06-28,845,1961
2017-06-28,846,2940
2017-06-28,869,1910
2017-06-28,891,5216
2017-06-28,893,144
2017-06-28,899,11665
2017-06-28,928,1017
2017-06-28,985,3908
2017-06-28,988,839
2017-06-28,1028,2233
2017-06-29,163,5362
2017-06-29,165,1469
2017-06-29,166,318
2017-06-29,168,5040
2017-06-29,169,5969
2017-06-29,170,8895
2017-06-29,171,6442
2017-06-29,172,1081
2017-06-29,173,3708
2017-06-29,175,3472
2017-06-29,176,1419
2017-06-29,179,5027
2017-06-29,180,6618
2017-06-29,181,0
2017-06-29,182,415
2017-06-29,187,4586
2017-06-29,192,441
2017-06-29,211,339
2017-06-29,253,361
2017-06-29,287,923
2017-06-29,292,563
2017-06-29,326,1429
2017-06-29,330,2355
2017-06-29,338,2462
2017-06-29,339,2346
2017-06-29,347,6476
2017-06-29,351,4378
2017-06-29,361,2908
2017-06-29,398,5032
2017-06-29,399,1261
2017-06-29,400,2185
2017-06-29,403,2377
2017-06-29,404,2356
2017-06-29,406,3792
2017-06-29,407,2046
2017-06-29,409,4479
2017-06-29,410,1388
2017-06-29,412,1942
2017-06-29,413,3460
2017-06-29,414,3033
2017-06-29,415,4509
2017-06-29,416,1687
2017-06-29,419,1497
2017-06-29,420,2802
2017-06-29,421,3438
2017-06-29,426,828
2017-06-29,427,763
2017-06-29,430,1292
2017-06-29,432,2864
2017-06-29,433,2315
2017-06-29,445,5056
2017-06-29,446,680
2017-06-29,452,2878
