weekday,cam,hour,count
0,163,0,34
0,163,1,20
0,163,2,13
0,163,3,9
0,163,4,7
0,163,5,62
0,163,6,113
0,163,7,191
0,163,8,407
0,163,9,868
0,163,10,1079
0,163,11,1213
0,163,12,1513
0,163,13,1520
0,163,14,1572
0,163,15,1785
0,163,16,1750
0,163,17,1513
0,163,18,1318
0,163,19,1101
0,163,20,845
0,163,21,136
0,163,22,60
0,163,23,33
0,165,0,156
0,165,1,99
0,165,2,134
0,165,3,102
0,165,4,117
0,165,5,138
0,165,6,172
0,165,7,123
0,165,8,97
0,165,9,190
0,165,10,185
0,165,11,210
0,165,12,218
0,165,13,295
0,165,14,227
0,165,15,190
0,165,16,191
0,165,17,206
0,165,18,260
0,165,19,246
0,165,20,225
0,165,21,82
0,165,22,103
0,165,23,133
0,166,0,110
0,166,1,61
0,166,2,29
0,166,3,28
0,166,4,23
0,166,5,22
0,166,6,27
0,166,7,31
0,166,8,44
0,166,9,40
0,166,10,44
0,166,11,49
0,166,12,58
0,166,13,66
0,166,14,59
0,166,15,53
0,166,16,67
0,166,17,80
0,166,18,79
0,166,19,80
0,166,20,122
0,166,21,44
0,166,22,42
0,166,23,49
0,168,0,179
0,168,1,153
0,168,2,121
0,168,3,101
0,168,4,111
0,168,5,232
0,168,6,192
0,168,7,254
0,168,8,326
0,168,9,573
0,168,10,874
0,168,11,1092
0,168,12,1225
0,168,13,1367
0,168,14,1271
0,168,15,1186
0,168,16,1231
0,168,17,1478
0,168,18,1481
0,168,19,1365
0,168,20,1230
0,168,21,283
0,168,22,299
0,168,23,239
0,169,0,212
0,169,1,83
0,169,2,29
0,169,3,19
0,169,4,21
0,169,5,62
0,169,6,118
0,169,7,199
0,169,8,429
0,169,9,934
0,169,10,1165
0,169,11,1135
0,169,12,1175
0,169,13,1281
0,169,14,1268
0,169,15,1284
0,169,16,1589
0,169,17,1743
0,169,18,1655
0,169,19,1302
0,169,20,1082
0,169,21,573
0,169,22,383
0,169,23,347
0,170,0,639
0,170,1,386
0,170,2,234
0,170,3,197
0,170,4,168
0,170,5,190
0,170,6,308
0,170,7,475
0,170,8,794
0,170,9,1049
0,170,10,1185
0,170,11,1302
0,170,12,1538
0,170,13,1887
0,170,14,1854
0,170,15,2014
0,170,16,1988
0,170,17,2093
0,170,18,1972
0,170,19,1690
0,170,20,1529
0,170,21,1094
0,170,22,1084
0,170,23,833
0,171,0,275
0,171,1,141
0,171,2,106
0,171,3,63
0,171,4,46
0,171,5,69
0,171,6,140
0,171,7,226
0,171,8,388
0,171,9,704
0,171,10,955
0,171,11,1024
0,171,12,995
0,171,13,1105
0,171,14,1025
0,171,15,1223
0,171,16,1378
0,171,17,1473
0,171,18,1371
0,171,19,1226
0,171,20,852
0,171,21,317
0,171,22,273
0,171,23,208
0,172,0,80
0,172,1,37
0,172,2,39
0,172,3,19
0,172,4,23
0,172,5,49
0,172,6,97
0,172,7,101
0,172,8,144
0,172,9,225
0,172,10,211
0,172,11,316
0,172,12,415
0,172,13,418
0,172,14,352
0,172,15,349
0,172,16,373
0,172,17,418
0,172,18,429
0,172,19,483
0,172,20,454
0,172,21,169
0,172,22,124
0,172,23,106
0,173,0,228
0,173,1,163
0,173,2,151
0,173,3,134
0,173,4,133
0,173,5,100
0,173,6,173
0,173,7,256
0,173,8,363
0,173,9,437
0,173,10,517
0,173,11,578
0,173,12,515
0,173,13,575
0,173,14,615
0,173,15,611
0,173,16,639
0,173,17,681
0,173,18,699
0,173,19,561
0,173,20,456
0,173,21,212
0,173,22,220
0,173,23,213
0,175,0,21
0,175,1,23
0,175,2,19
0,175,3,20
0,175,4,17
0,175,5,50
0,175,6,36
0,175,7,109
0,175,8,160
0,175,9,296
0,175,10,338
0,175,11,356
0,175,12,367
0,175,13,386
0,175,14,366
0,175,15,301
0,175,16,333
0,175,17,374
0,175,18,386
0,175,19,363
0,175,20,401
0,175,21,18
0,175,22,10
0,175,23,11
0,176,0,86
0,176,1,81
0,176,2,76
0,176,3,74
0,176,4,84
0,176,5,22
0,176,6,12
0,176,7,69
0,176,8,147
0,176,9,216
0,176,10,256
0,176,11,206
0,176,12,205
0,176,13,191
0,176,14,191
0,176,15,153
0,176,16,188
0,176,17,187
0,176,18,184
0,176,19,117
0,176,20,94
0,176,21,84
0,176,22,89
0,176,23,82
0,179,0,251
0,179,1,191
0,179,2,111
0,179,3,108
0,179,4,109
0,179,5,172
0,179,6,189
0,179,7,314
0,179,8,414
0,179,9,609
0,179,10,796
0,179,11,1008
0,179,12,1062
0,179,13,1340
0,179,14,1280
0,179,15,1240
0,179,16,1203
0,179,17,1320
0,179,18,1228
0,179,19,1142
0,179,20,887
0,179,21,602
0,179,22,522
0,179,23,390
0,180,0,330
0,180,1,263
0,180,2,174
0,180,3,114
0,180,4,118
0,180,5,256
0,180,6,377
0,180,7,583
0,180,8,574
0,180,9,774
0,180,10,1018
0,180,11,1194
0,180,12,1402
0,180,13,1539
0,180,14,1354
0,180,15,1423
0,180,16,1459
0,180,17,1470
0,180,18,1468
0,180,19,1105
0,180,20,875
0,180,21,577
0,180,22,554
0,180,23,463
0,181,0,1227
0,181,1,1057
0,181,2,826
0,181,3,646
0,181,4,563
0,181,5,465
0,181,6,770
0,181,7,1146
0,181,8,1717
0,181,9,1903
0,181,10,1789
0,181,11,1844
0,181,12,2331
0,181,13,2278
0,181,14,1852
0,181,15,1592
0,181,16,1549
0,181,17,1694
0,181,18,1852
0,181,19,1396
0,181,20,1241
0,181,21,797
0,181,22,840
0,181,23,907
0,182,0,26
0,182,1,22
0,182,2,16
0,182,3,26
0,182,4,27
0,182,5,42
0,182,6,43
0,182,7,48
0,182,8,50
0,182,9,35
0,182,10,50
0,182,11,74
0,182,12,91
0,182,13,104
0,182,14,88
0,182,15,105
0,182,16,84
0,182,17,88
0,182,18,87
0,182,19,91
0,182,20,79
0,182,21,58
0,182,22,39
0,182,23,47
0,187,0,112
0,187,1,121
0,187,2,81
0,187,3,63
0,187,4,87
0,187,5,72
0,187,6,128
0,187,7,279
0,187,8,502
0,187,9,712
0,187,10,794
0,187,11,825
0,187,12,745
0,187,13,766
0,187,14,734
0,187,15,751
0,187,16,744
0,187,17,682
0,187,18,490
0,187,19,286
0,187,20,201
0,187,21,164
0,187,22,123
0,187,23,167
0,192,0,101
0,192,1,73
0,192,2,53
0,192,3,40
0,192,4,35
0,192,5,42
0,192,6,48
0,192,7,101
0,192,8,157
0,192,9,267
0,192,10,288
0,192,11,365
0,192,12,368
0,192,13,489
0,192,14,489
0,192,15,492
0,192,16,497
0,192,17,550
0,192,18,586
0,192,19,437
0,192,20,403
0,192,21,221
0,192,22,152
0,192,23,130
0,211,0,47
0,211,1,46
0,211,2,33
0,211,3,33
0,211,4,40
0,211,5,15
0,211,6,15
0,211,7,63
0,211,8,61
0,211,9,30
0,211,10,36
0,211,11,24
0,211,12,25
0,211,13,52
0,211,14,52
0,211,15,37
0,211,16,44
0,211,17,38
0,211,18,44
0,211,19,61
0,211,20,25
0,211,21,42
0,211,22,50
0,211,23,32
0,253,0,32
0,253,1,36
0,253,2,31
0,253,3,35
0,253,4,23
0,253,5,38
0,253,6,38
0,253,7,136
0,253,8,122
0,253,9,104
0,253,10,146
0,253,11,162
0,253,12,139
0,253,13,119
0,253,14,119
0,253,15,64
0,253,16,49
0,253,17,91
0,253,18,117
0,253,19,87
0,253,20,78
0,253,21,39
0,253,22,38
0,253,23,43
0,287,0,19
